OBJECTID,STATE_ABBR,STATE_FIPS,STATE_NAME,FIPS,State,AllAge_F_AA_Rate,AllAge_F_Lower_CI,AllAge_F_Upper_CI,AllAge_F_Average_Count,AllAge_F_Recent_Trend,AllAge_F_Recent_5yr_Trend,AllAge_F_Lower_Trend_CI,AllAge_F_Upper_Trend_CI,Under50_F_AA_Rate,Under50_F_Lower_CI,Under50_F_Upper_CI,Under50_F_Average_Count,Under50_F_Recent_Trend,Under50_F_Recent_5yr_Trend,Under50_F_Lower_Trend_CI,Under50_F_Upper_Trend_CI,Age50over_F_AA_Rate,Age50over_F_Lower_CI,Age50over_F_Upper_CI,Age50over_F_Average_Count,Age50over_F_Recent_Trend,Age50over_F_Recent_5yr_Trend,Age50over_F_Lower_Trend_CI,Age50over_F_Upper_Trend_CI,Under65_F_AA_Rate,Under65_F_Lower_CI,Under65_F_Upper_CI,Under65_F_Average_Count,Under65_F_Recent_Trend,Under65_F_Recent_5yr_Trend,Under65_F_Lower_Trend_CI,Under65_F_Upper_Trend_CI,Age65over_F_AA_Rate,Age65over_F_Lower_CI,Age65over_F_Upper_CI,Age65over_F_Average_Count,Age65over_F_Recent_Trend,Age65over_F_Recent_5yr_Trend,Age65over_F_Lower_Trend_CI,Age65over_F_Upper_Trend_CI,Shape__Area,Shape__Length
1,AL,01,Alabama,1,"Alabama(6,8)",39.4,38.37,40.45,1215,,,,,18.03,17.06,19.04,262.6,,,,,96.27,93.52,99.09,952.4,,,,,29.43,28.42,30.46,708.4,,,,,108.35,104.14,112.68,506.6,,,,,189880804279.291,3287525.50147372
2,AK,02,Alaska,2,"Alaska(6,8)",42.11,39.06,45.34,152.8,,,,,20.12,17.44,23.07,41.2,,,,,100.72,92.21,109.83,111.6,,,,,31.38,28.59,34.35,101,,,,,116.33,102.07,132.07,51.8,,,,,8202565287862.59,80993965.6622446
3,AZ,04,Arizona,4,"Arizona(6,8)",34.62,33.8,35.45,1482.8,,,,,15.99,15.22,16.79,325.8,,,,,84.2,82,86.44,1157,,,,,26.43,25.61,27.26,859.2,,,,,91.24,88.05,94.52,623.6,,,,,434065931287.855,2904324.90944456
4,AR,05,Arkansas,5,"Arkansas(6,8)",39.34,38.01,40.7,722.2,,,,,17.5,16.27,18.8,151.4,,,,,97.39,93.8,101.09,570.8,,,,,28.82,27.53,30.15,407,,,,,112.05,106.56,117.76,315.2,,,,,205401460434.09,2675352.42128439
5,CA,06,California,6,"California(7,8)",40.86,40.47,41.25,9064.6,,,,,18.78,18.44,19.13,2310,,,,,98.67,97.6,99.74,6754.6,,,,,30.84,30.47,31.21,5636.6,,,,,110.1,108.44,111.78,3428,,,,,649190095223.754,7813037.97264953
6,CO,08,Colorado,8,"Colorado(6,8)",41.9,40.87,42.95,1326,,,,,19.48,18.56,20.44,338.2,,,,,101.58,98.7,104.51,987.8,,,,,31.37,30.39,32.37,826,,,,,114.7,110.16,119.37,500,,,,,447314026441.762,2707521.4009179
7,CT,09,Connecticut,9,"Connecticut(7,8)",40.27,39.05,41.53,913.6,,,,,20.27,19.07,21.51,218.2,,,,,92.67,89.57,95.85,695.4,,,,,30.87,29.67,32.11,551,,,,,105.27,100.41,110.31,362.6,,,,,22983470669.9453,2065475.20587206
8,DE,10,Delaware,10,"Delaware(6,8)",42.06,39.67,44.56,262.6,,,,,21.15,18.77,23.75,57.8,,,,,97.86,91.85,104.17,204.8,,,,,31.67,29.29,34.18,148.6,,,,,113.91,104.65,123.78,114,,,,,8452721807.82813,1539682.1544004
9,DC,11,District of Columbia,11,"District of Columbia(6,8)",45.58,42.47,48.85,168.2,,,,,19.13,16.62,21.91,44.8,,,,,115.78,106.68,125.44,123.4,,,,,35.6,32.62,38.79,110.8,,,,,114.53,101.48,128.78,57.4,,,,,264381583.878906,135566.315432233
10,FL,12,Florida,12,"Florida(6,8)",40.95,40.45,41.46,5724,,,,,20.22,19.72,20.73,1244.4,,,,,96.24,94.96,97.54,4479.6,,,,,32.12,31.61,32.64,3294.6,,,,,101.96,100.15,103.8,2429.4,,,,,190771528482.09,25999259.5169228
11,GA,13,Georgia,13,"Georgia(7,8)",46.24,45.46,47.02,2822.8,,,,,20.76,20.08,21.45,712.4,,,,,112.96,110.78,115.16,2110.4,,,,,34.55,33.82,35.3,1772,,,,,126.99,123.54,130.52,1050.8,,,,,215207972112.184,7567784.1882867
12,HI,15,Hawaii,15,"Hawaii(7,8)",41.47,39.46,43.57,353.8,,,,,21,19.07,23.08,86.8,,,,,95.07,89.9,100.46,267,,,,,32.92,30.88,35.05,211,,,,,100.59,93.21,108.41,142.8,,,,,19028075332.0859,2056815.06879453
13,ID,16,Idaho,16,"Idaho(7,8)",44.85,42.92,46.85,437.2,,,,,20.27,18.54,22.12,101,,,,,109.23,103.96,114.69,336.2,,,,,33.36,31.49,35.31,257.2,,,,,124.31,116.21,132.82,180,,,,,424673907274.813,4173944.3105149
14,IL,17,Illinois,17,"Illinois(6,8)",43.85,43.17,44.55,3353,,,,,19.42,18.81,20.05,759,,,,,107.83,105.95,109.73,2594,,,,,32.73,32.07,33.4,2013.8,,,,,120.76,117.85,123.72,1339.2,,,,,249655510883.184,2851840.59089733
15,IN,18,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159569381312.188,2277940.05000178
16,IA,19,Iowa,19,"Iowa(7,8)",42.77,41.38,44.19,803.8,,,,,19.7,18.4,21.06,171.4,,,,,103.18,99.53,106.92,632.4,,,,,31.6,30.24,33,448.6,,,,,119.98,114.37,125.78,355.2,,,,,264810274979.52,2514931.62192835
17,KS,20,Kansas,20,"Kansas(6,8)",40.59,39.18,42.04,681.2,,,,,18.26,16.96,19.64,146.8,,,,,99.97,96.13,103.91,534.4,,,,,30.47,29.09,31.9,402.4,,,,,110.53,104.73,116.58,278.8,,,,,348447382863.82,2568332.23931336
18,KY,21,Kentucky,21,"Kentucky(7,8)",41.28,40.16,42.41,1133.8,,,,,18,16.99,19.05,239,,,,,102.24,99.22,105.33,894.8,,,,,30.26,29.19,31.37,656.6,,,,,117.42,112.71,122.27,477.2,,,,,166704336835.414,2731014.73402901
19,LA,22,Louisiana,22,"Louisiana(7,8)",46.38,45.21,47.57,1293.2,,,,,20.13,19.08,21.22,279.8,,,,,115.12,111.93,118.39,1013.4,,,,,33.6,32.49,34.74,750.6,,,,,134.71,129.64,139.93,542.6,,,,,160747523633.537,16330475.9057184
20,ME,23,Maine,23,"Maine(6,8)",39.35,37.42,41.36,362.6,,,,,19.53,17.58,21.64,74.2,,,,,92.23,87.43,97.24,288.4,,,,,30,28.06,32.04,205.6,,,,,104,96.76,111.63,157,,,,,170514839452.734,10910976.1037437
21,MD,24,Maryland,24,"Maryland(6,8)",43.65,42.67,44.65,1616,,,,,20.91,19.99,21.87,391.6,,,,,104.23,101.6,106.91,1224.4,,,,,33.01,32.07,33.98,1002.8,,,,,117.19,113.03,121.47,613.2,,,,,42422055281.5469,11259618.4421306
22,MA,25,Massachusetts,25,"Massachusetts(7,8)",35.81,34.97,36.66,1516.4,,,,,17.71,16.91,18.54,372.2,,,,,83.22,81.04,85.44,1144.2,,,,,27.9,27.08,28.75,939.6,,,,,90.47,87.15,93.88,576.8,,,,,38241352235.7617,5129577.7633636
